feature,mean_abs_shap,experiment,seed,fold
s4,0.0030348181559821624,boosting_suite_lightgbm_baseline,77,-1
s5,0.005363441585147565,boosting_suite_lightgbm_baseline,77,-1
s6,0.005128411727163495,boosting_suite_lightgbm_baseline,77,-1
target,0.007994737778757146,boosting_suite_lightgbm_baseline,77,-1
age,0.0059509049985663545,boosting_suite_xgboost_baseline,42,-1
bmi,0.007111412449617874,boosting_suite_xgboost_baseline,42,-1
bp,0.008055979325394173,boosting_suite_xgboost_baseline,42,-1
s1,0.0032723338537685564,boosting_suite_xgboost_baseline,42,-1
s2,0.002329450459291693,boosting_suite_xgboost_baseline,42,-1
s3,0.012624309638567744,boosting_suite_xgboost_baseline,42,-1
s4,0.0035775917621681426,boosting_suite_xgboost_baseline,42,-1
s5,0.005172014781300821,boosting_suite_xgboost_baseline,42,-1
s6,0.004244801852724055,boosting_suite_xgboost_baseline,42,-1
target,0.006730178873161225,boosting_suite_xgboost_baseline,42,-1
age,0.004784916476683457,boosting_suite_xgboost_baseline,42,-1
bmi,0.0073477572037219515,boosting_suite_xgboost_baseline,42,-1
bp,0.009055233767180959,boosting_suite_xgboost_baseline,42,-1
s1,0.004120377105705745,boosting_suite_xgboost_baseline,42,-1
s2,0.0025228498086511115,boosting_suite_xgboost_baseline,42,-1
s3,0.009069142924549406,boosting_suite_xgboost_baseline,42,-1
s4,0.005041987251494752,boosting_suite_xgboost_baseline,42,-1
s5,0.005387825659192245,boosting_suite_xgboost_baseline,42,-1
s6,0.0036764441402843324,boosting_suite_xgboost_baseline,42,-1
target,0.006179026803138409,boosting_suite_xgboost_baseline,42,-1
age,0.005243104603254683,boosting_suite_xgboost_baseline,42,-1
bmi,0.006338441927753952,boosting_suite_xgboost_baseline,42,-1
bp,0.009731675914688515,boosting_suite_xgboost_baseline,42,-1
s1,0.004458121454052366,boosting_suite_xgboost_baseline,42,-1
s2,0.0027539274491870745,boosting_suite_xgboost_baseline,42,-1
s3,0.011068249593172512,boosting_suite_xgboost_baseline,42,-1
s4,0.00310373952818405,boosting_suite_xgboost_baseline,42,-1
s5,0.004891928445001594,boosting_suite_xgboost_baseline,42,-1
s6,0.0060111031077253385,boosting_suite_xgboost_baseline,42,-1
target,0.0057957960641241224,boosting_suite_xgboost_baseline,42,-1
age,0.004786818744093018,boosting_suite_xgboost_baseline,42,-1
bmi,0.007442561077527976,boosting_suite_xgboost_baseline,42,-1
bp,0.008769660468446974,boosting_suite_xgboost_baseline,42,-1
s1,0.0051047753815155195,boosting_suite_xgboost_baseline,42,-1
s2,0.0025728360112752596,boosting_suite_xgboost_baseline,42,-1
s3,0.012537406569519733,boosting_suite_xgboost_baseline,42,-1
s4,0.004103183308334851,boosting_suite_xgboost_baseline,42,-1
s5,0.003058318656112587,boosting_suite_xgboost_baseline,42,-1
s6,0.00436713145530576,boosting_suite_xgboost_baseline,42,-1
target,0.006051229646377388,boosting_suite_xgboost_baseline,42,-1
age,0.004790088977151064,boosting_suite_xgboost_baseline,42,-1
bmi,0.007562319296075003,boosting_suite_xgboost_baseline,42,-1
bp,0.010711714602410778,boosting_suite_xgboost_baseline,42,-1
s1,0.003426244281635178,boosting_suite_xgboost_baseline,42,-1
s2,0.002706833094851801,boosting_suite_xgboost_baseline,42,-1
s3,0.01060587784230089,boosting_suite_xgboost_baseline,42,-1
s4,0.0064538435853545495,boosting_suite_xgboost_baseline,42,-1
s5,0.004046643448571288,boosting_suite_xgboost_baseline,42,-1
s6,0.0037519468876706084,boosting_suite_xgboost_baseline,42,-1
target,0.0074192331703660085,boosting_suite_xgboost_baseline,42,-1
age,0.004402569928926444,boosting_suite_xgboost_baseline,77,-1
bmi,0.007304198519445484,boosting_suite_xgboost_baseline,77,-1
bp,0.009250607136980867,boosting_suite_xgboost_baseline,77,-1
s1,0.003361595593537382,boosting_suite_xgboost_baseline,77,-1
s2,0.002693007492152538,boosting_suite_xgboost_baseline,77,-1
s3,0.012190500861529502,boosting_suite_xgboost_baseline,77,-1
